pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.96	8492	3103099	365.41
9.60	6.68	8882	3264930	367.59
9.30	6.40	9283	3435430	370.08
9.00	6.12	9721	3625663	372.97
8.70	5.84	10174	3824533	375.91
8.40	5.57	10637	4034241	379.26
8.10	5.29	11153	4262739	382.21
7.80	5.01	11712	4513546	385.38
7.50	4.73	12269	4777818	389.42
7.20	4.46	12818	5040923	393.27
6.90	4.18	13566	5372681	396.04
6.60	3.91	14300	5725240	400.37
6.30	3.63	14959	6054127	404.71
6.00	3.36	15926	6496373	407.91
5.70	3.09	16782	6913824	411.98
5.40	2.82	17762	7397561	416.48
5.10	2.56	19114	8014006	419.27
4.80	2.29	20393	8635260	423.44
4.50	2.02	21751	9322760	428.61
4.20	1.78	24081	10344957	429.59
3.90	1.53	26168	11332490	433.07
3.60	1.26	28324	12405424	437.98
3.30	1.05	35261	14949934	423.98
3.00	0.86	40496	17163058	423.82
2.70	0.61	45467	19443982	427.65
2.40	0.47	83779	31940368	381.25
2.10	0.36	104143	39851574	382.66
1.80	0.11	257285	93149170	362.05
1.50	0.11	353281	132386683	374.73
1.20	0.00	394952	153356690	388.29
0.90	0.00	1107321	520934782	470.45
0.60	0.00	1719492	1293517890	752.27
0.30	0.00	1706333	1598330205	936.70
