pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.88	38	18045	474.87
9.60	4.62	40	18940	473.50
9.30	4.34	43	19937	463.65
9.00	4.07	42	20507	488.26
8.70	3.83	45	21828	485.07
8.40	3.57	47	22533	479.43
8.10	3.31	48	23268	484.75
7.80	3.10	52	24774	476.42
7.50	2.87	58	27169	468.43
7.20	2.64	63	29154	462.76
6.90	2.42	77	34481	447.81
6.60	2.22	91	39387	432.82
6.30	2.02	110	46022	418.38
6.00	1.83	136	54193	398.48
5.70	1.65	183	69562	380.12
5.40	1.50	242	89139	368.34
5.10	1.33	338	121596	359.75
4.80	1.14	478	170172	356.01
4.50	0.97	834	282592	338.84
4.20	0.97	1205	406314	337.19
3.90	0.88	1985	666111	335.57
3.60	0.73	2899	978054	337.38
3.30	0.53	3834	1317926	343.75
3.00	0.43	16199	5382002	332.24
2.70	0.43	32147	11011133	342.52
2.40	0.43	43329	15203494	350.88
2.10	0.32	53201	19280760	362.41
1.80	0.14	342738	142881883	416.88
1.50	0.14	555715	253340304	455.88
1.20	0.14	644104	309154797	479.98
0.90	0.08	656035	319425030	486.90
0.60	0.00	153802	2397870891	15590.64
0.30	0.00	531	1986300642	3740679.18
