pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.56	22796	9883202	433.55
9.60	7.27	23462	10223329	435.74
9.30	6.98	24170	10591858	438.22
9.00	6.70	25102	11032870	439.52
8.70	6.41	25858	11439487	442.40
8.40	6.13	26641	11859527	445.16
8.10	5.85	27720	12374405	446.41
7.80	5.56	28707	12890904	449.05
7.50	5.28	29703	13437746	452.40
7.20	4.99	30682	13978661	455.60
6.90	4.72	32282	14753858	457.03
6.60	4.43	33434	15400268	460.62
6.30	4.15	34539	16057063	464.90
6.00	3.87	36630	17091589	466.60
5.70	3.59	38113	17931659	470.49
5.40	3.31	39490	18794767	475.94
5.10	3.04	42377	20229681	477.37
4.80	2.76	44156	21336186	483.20
4.50	2.48	45985	22507593	489.46
4.20	2.23	50347	24707136	490.74
3.90	1.95	52740	26261010	497.93
3.60	1.68	55220	27923658	505.68
3.30	1.45	63100	31886078	505.33
3.00	1.18	67045	34440297	513.69
2.70	0.99	82366	41852629	508.13
2.40	0.73	90477	46722927	516.41
2.10	0.47	99072	52099041	525.87
1.80	0.37	155262	78584844	506.14
1.50	0.13	177357	92333346	520.61
1.20	0.09	352851	184197203	522.03
0.90	0.00	739365	435370280	588.84
0.60	0.00	822177	539186623	655.80
0.30	0.00	1204333	1284476087	1066.55
