pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.09	494	227352	460.23
9.60	5.83	550	250310	455.11
9.30	5.56	601	271539	451.81
9.00	5.31	674	301470	447.28
8.70	5.05	777	343577	442.18
8.40	4.79	861	375200	435.77
8.10	4.55	992	427171	430.62
7.80	4.29	1108	474151	427.93
7.50	4.04	1254	532234	424.43
7.20	3.81	1450	612243	422.24
6.90	3.56	1663	698614	420.09
6.60	3.31	1929	805271	417.46
6.30	3.10	2323	964294	415.11
6.00	2.86	2662	1108642	416.47
5.70	2.62	3087	1289247	417.64
5.40	2.43	3808	1583048	415.72
5.10	2.20	4508	1881191	417.30
4.80	1.97	5312	2240160	421.72
4.50	1.82	7104	2965878	417.49
4.20	1.60	8690	3633222	418.09
3.90	1.44	12575	5188582	412.61
3.60	1.27	15956	6605727	414.00
3.30	1.06	20023	8362335	417.64
3.00	0.98	34203	14123132	412.92
2.70	0.78	44721	18728669	418.79
2.40	0.72	82836	34932118	421.70
2.10	0.53	111821	48560905	434.27
1.80	0.46	218107	98770510	452.85
1.50	0.29	285457	136306732	477.50
1.20	0.25	536349	284732833	530.87
0.90	0.10	889227	560691762	630.54
0.60	0.01	1011346	747856488	739.47
0.30	0.00	1180614	1351772195	1144.97
