pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.14	48	24033	500.69
9.60	4.88	51	25511	500.22
9.30	4.63	55	27040	491.64
9.00	4.39	56	27815	496.70
8.70	4.14	61	30303	496.77
8.40	3.90	71	33843	476.66
8.10	3.67	81	37908	468.00
7.80	3.44	106	46132	435.21
7.50	3.21	127	53003	417.35
7.20	2.99	152	62083	408.44
6.90	2.77	180	72382	402.12
6.60	2.56	213	83457	391.82
6.30	2.35	268	102597	382.82
6.00	2.13	322	121301	376.71
5.70	1.93	444	165979	373.83
5.40	1.78	575	213149	370.69
5.10	1.61	780	282646	362.37
4.80	1.42	1042	379751	364.44
4.50	1.23	1428	520193	364.28
4.20	1.03	1952	715114	366.35
3.90	0.99	3410	1217078	356.91
3.60	0.93	5120	1833762	358.16
3.30	0.76	7629	2770735	363.18
3.00	0.55	10197	3788159	371.50
2.70	0.46	37609	13644821	362.81
2.40	0.46	59303	22217695	374.65
2.10	0.46	79952	31014297	387.91
1.80	0.23	97799	39480800	403.69
1.50	0.15	507363	241094980	475.19
1.20	0.15	682609	356681150	522.53
0.90	0.15	735667	404696227	550.11
0.60	0.00	309408	2197274645	7101.54
0.30	0.00	7765	2508525335	323055.42
