pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.33	13395	5675486	423.70
9.60	7.04	13840	5896926	426.08
9.30	6.76	14349	6142342	428.07
9.00	6.48	15024	6453674	429.56
8.70	6.19	15665	6756905	431.34
8.40	5.91	16258	7061984	434.37
8.10	5.63	17089	7447074	435.78
7.80	5.35	17825	7808464	438.06
7.50	5.07	18568	8187748	440.96
7.20	4.80	19685	8706603	442.30
6.90	4.51	20528	9156199	446.03
6.60	4.23	21450	9649422	449.86
6.30	3.96	22961	10361460	451.26
6.00	3.69	24056	10947244	455.07
5.70	3.41	25180	11577422	459.79
5.40	3.14	27192	12569306	462.24
5.10	2.87	28649	13391213	467.42
4.80	2.59	30141	14252022	472.85
4.50	2.34	33173	15764769	475.23
4.20	2.07	35188	16945339	481.57
3.90	1.83	39610	19148936	483.44
3.60	1.57	42750	20925140	489.48
3.30	1.32	50193	24531811	488.75
3.00	1.11	56052	27656240	493.40
2.70	0.87	63165	31454694	497.98
2.40	0.71	86173	42064053	488.13
2.10	0.49	103040	50771158	492.73
1.80	0.39	167204	80776029	483.10
1.50	0.17	210021	104802893	499.01
1.20	0.12	386956	200561468	518.31
0.90	0.00	710818	413928878	582.33
0.60	0.00	809507	542954022	670.72
0.30	0.00	1137558	1085946411	954.63
