pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.99	5851	2548615	435.59
9.60	6.71	6215	2735007	440.07
9.30	6.45	6684	2959064	442.71
9.00	6.17	7178	3191758	444.66
8.70	5.90	7650	3428284	448.14
8.40	5.64	8274	3730816	450.91
8.10	5.37	8809	4005304	454.68
7.80	5.09	9408	4309134	458.03
7.50	4.83	10235	4710738	460.26
7.20	4.56	10994	5096287	463.55
6.90	4.29	11800	5522454	468.00
6.60	4.04	13021	6117224	469.80
6.30	3.77	14002	6649001	474.86
6.00	3.50	15047	7225120	480.17
5.70	3.26	16793	8115360	483.26
5.40	2.99	18195	8895123	488.88
5.10	2.75	20660	10130838	490.36
4.80	2.50	22607	11210532	495.89
4.50	2.24	24656	12384108	502.28
4.20	2.02	28871	14513163	502.69
3.90	1.77	32137	16338918	508.41
3.60	1.58	39553	19926810	503.80
3.30	1.34	45206	22991247	508.59
3.00	1.11	60774	30262119	497.95
2.70	0.95	72749	36457590	501.14
2.40	0.72	86860	44018431	506.77
2.10	0.61	137992	68491702	496.35
1.80	0.41	234539	116428585	496.41
1.50	0.31	294816	152777722	518.21
1.20	0.18	520068	288132157	554.03
0.90	0.04	611526	371039659	606.74
0.60	0.00	959670	710549692	740.41
0.30	0.00	1169831	1283907032	1097.51
