pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.42	1249	523029	418.76
9.60	6.15	1382	578649	418.70
9.30	5.88	1495	625434	418.35
9.00	5.62	1664	694361	417.28
8.70	5.36	1808	755628	417.94
8.40	5.09	1978	829250	419.24
8.10	4.84	2194	919230	418.97
7.80	4.57	2436	1021025	419.14
7.50	4.31	2685	1129475	420.66
7.20	4.06	3021	1272269	421.14
6.90	3.80	3334	1410428	423.04
6.60	3.56	3811	1615613	423.93
6.30	3.30	4279	1820894	425.54
6.00	3.05	4740	2030714	428.42
5.70	2.82	5467	2352123	430.24
5.40	2.57	6140	2663884	433.86
5.10	2.36	7306	3173481	434.37
4.80	2.12	8280	3637676	439.33
4.50	1.88	9454	4191074	443.31
4.20	1.71	12015	5309005	441.86
3.90	1.49	14145	6290949	444.75
3.60	1.35	19931	8728332	437.93
3.30	1.14	24631	10840112	440.10
3.00	1.01	38891	16848334	433.22
2.70	0.83	50558	22123867	437.59
2.40	0.70	88613	38869554	438.64
2.10	0.55	118189	53175370	449.92
1.80	0.46	216216	101055697	467.38
1.50	0.28	282211	139112030	492.94
1.20	0.23	502370	273332009	544.09
0.90	0.12	811631	517087583	637.10
0.60	0.01	1120263	927332390	827.78
0.30	0.00	1132882	1538595038	1358.12
