pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.06	12286	4011652	326.52
9.60	6.78	12809	4211908	328.82
9.30	6.50	13357	4426020	331.36
9.00	6.22	13893	4641075	334.06
8.70	5.94	14473	4874599	336.81
8.40	5.67	15146	5139518	339.33
8.10	5.39	15801	5410364	342.41
7.80	5.11	16545	5713509	345.33
7.50	4.83	17295	6033402	348.85
7.20	4.56	18187	6385612	351.11
6.90	4.28	19056	6763550	354.93
6.60	4.00	20043	7172007	357.83
6.30	3.73	21187	7624046	359.85
6.00	3.46	22310	8108187	363.43
5.70	3.18	23545	8636871	366.82
5.40	2.91	24785	9212435	371.69
5.10	2.65	26692	9966242	373.38
4.80	2.38	28402	10714289	377.24
4.50	2.11	30180	11536571	382.26
4.20	1.84	32049	12415494	387.39
3.90	1.60	36351	13975631	384.46
3.60	1.34	39485	15334577	388.36
3.30	1.08	42548	16782497	394.44
3.00	0.92	55881	20836191	372.87
2.70	0.68	63607	23825889	374.58
2.40	0.43	70333	26814116	381.25
2.10	0.37	153527	49604661	323.10
1.80	0.22	183824	60352349	328.32
1.50	0.00	558419	176659955	316.36
1.20	0.00	715440	238583441	333.48
0.90	0.00	784528	273636932	348.79
0.60	0.00	2001327	1038042432	518.68
0.30	0.00	596823	2673194529	4479.04
