Gene
SRG
Il4i1
Saa3
D8Ertd
Adora2
Stat5a
Jdp2
Il12b
Slc7a1
Lass6
Cav1
Jak2
Pstpip
Fmnl2
Mmp13
Nupr1
Cish
Slco3a
Snn
C3
Lif
Il27
Psme2
Clec2d
ll6
Nos2
Il18
Gbp2
Gbp3
Cd69
